tipo_producto,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,score_latente,exito,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta
servicio,online,203.46,85.55,117.91,57.95,4,70,64,media,40.01,0,6,No me convence del todo,-0.5,41.5,0
digital,web_saas,130.87,73.73,57.14,43.66,9,61,54,media,34.44,0,1,La experiencia no fue lo que esperaba,-0.5,2.5,0
servicio,online,180.1,73.82,106.28,59.01,1,42,81,alta,46.62,1,10,Lo volvería a elegir,0.5,84.5,1
servicio,hibrido,254.7,142.26,112.44,44.15,1,21,27,baja,17.16,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
fisico,super,76.66,49.17,27.49,35.86,10,49,36,alta,32.39,0,5,No conecté con este producto,-0.5,32.5,0
servicio,online,311.7,198.92,112.78,36.18,1,76,54,media,23.88,0,1,La experiencia no fue lo que esperaba,-0.5,6.5,0
servicio,presencial,297.1,135.89,161.21,54.26,1,41,99,baja,40.18,0,3,La experiencia no fue lo que esperaba,-0.5,20.5,0
digital,app_store,182.95,92.03,90.92,49.7,4,28,100,media,47.58,1,7,Me encanta este producto,0.5,59.5,0
servicio,presencial,290.08,125.36,164.72,56.78,9,98,60,media,44.14,1,10,Se siente muy bien usarlo,0.5,84.5,1
digital,marketplace,187.64,128.34,59.3,31.6,3,34,55,media,28.98,0,3,No conecté con este producto,-0.5,16.5,0
servicio,hibrido,107.06,48.31,58.75,54.88,6,27,48,media,26.41,0,1,Probablemente no lo volvería a usar,0.0,14.0,0
digital,web_saas,238.91,128.58,110.33,46.18,5,85,99,media,40.04,0,5,No me convence del todo,-0.5,30.5,0
fisico,tienda_de_conveniencia,98.61,57.21,41.4,41.98,10,68,28,alta,35.02,0,2,No me sentí identificado,-0.5,11.5,0
digital,app_store,96.76,44.36,52.4,54.15,2,48,88,media,55.21,1,7,Lo volvería a elegir,0.5,59.5,0
servicio,hibrido,268.3,176.34,91.96,34.28,6,78,28,media,27.82,0,5,No me sentí identificado,-0.5,34.5,0
digital,marketplace,130.0,62.98,67.02,51.55,6,60,44,media,39.82,0,5,No me sentí identificado,-0.5,30.5,0
fisico,ecommerce,62.49,26.99,35.5,56.81,3,81,30,media,53.44,1,10,Lo volvería a elegir,0.5,82.5,1
servicio,online,277.28,123.73,153.55,55.38,4,41,92,alta,34.75,0,3,No me sentí identificado,-0.5,20.5,0
fisico,super,48.31,20.84,27.47,56.86,10,41,92,baja,58.67,1,7,La experiencia fue muy positiva,0.5,61.5,1
digital,marketplace,154.0,81.71,72.29,46.94,3,44,32,baja,26.74,0,4,La experiencia no fue lo que esperaba,-0.5,23.5,0
servicio,online,187.22,96.32,90.9,48.55,3,85,69,media,47.97,1,8,La experiencia fue muy positiva,0.5,70.5,1
digital,app_store,167.93,84.66,83.27,49.59,8,53,52,alta,36.56,0,4,No me convence del todo,-0.5,23.5,0
fisico,tienda_de_conveniencia,89.35,60.08,29.27,32.76,4,60,60,alta,51.84,1,8,La experiencia fue muy positiva,0.5,68.5,1
fisico,ecommerce,57.58,29.7,27.88,48.42,1,90,82,alta,61.42,1,7,Lo volvería a elegir,0.5,61.5,1
fisico,retail,103.0,54.12,48.88,47.46,9,24,83,media,38.23,0,1,La experiencia no fue lo que esperaba,-0.5,4.5,0
fisico,ecommerce,82.62,39.65,42.97,52.01,1,40,27,baja,29.36,0,2,No me sentí identificado,-0.5,11.5,0
digital,marketplace,170.25,73.48,96.77,56.84,6,83,73,media,50.78,1,10,Me identifico con la marca,0.5,80.5,1
servicio,presencial,96.53,66.77,29.76,30.83,7,26,52,media,21.35,0,3,No me convence del todo,-0.5,20.5,0
fisico,super,92.22,57.43,34.79,37.73,5,94,30,media,51.29,1,9,Me encanta este producto,0.5,75.5,1
servicio,hibrido,167.88,109.11,58.77,35.01,4,68,77,baja,43.77,1,9,Se siente muy bien usarlo,0.5,77.5,1
fisico,retail,67.67,36.68,30.99,45.8,1,68,67,media,59.92,1,7,Me identifico con la marca,0.5,61.5,1
fisico,ecommerce,101.56,54.3,47.26,46.53,5,46,37,media,34.61,0,4,No conecté con este producto,-0.5,25.5,0
digital,web_saas,158.98,66.41,92.57,58.23,8,43,61,alta,34.64,0,5,No conecté con este producto,-0.5,30.5,0
fisico,tienda_de_conveniencia,90.8,44.33,46.47,51.18,8,11,97,media,41.14,0,3,Probablemente no lo volvería a usar,0.0,26.0,0
digital,app_store,185.79,103.05,82.74,44.53,2,41,100,media,40.18,0,4,No me sentí identificado,-0.5,23.5,0
fisico,ecommerce,53.95,25.9,28.05,51.99,2,50,78,media,49.44,1,8,Me identifico con la marca,0.5,68.5,1
fisico,ecommerce,76.89,49.86,27.03,35.15,5,57,53,media,41.41,0,2,No me convence del todo,-0.5,11.5,0
fisico,retail,79.52,35.09,44.43,55.87,2,90,87,alta,76.06,1,7,Me identifico con la marca,0.5,61.5,1
servicio,hibrido,144.74,93.29,51.45,35.55,10,81,91,media,41.29,0,3,No conecté con este producto,-0.5,20.5,0
digital,app_store,159.6,90.06,69.54,43.57,2,67,32,media,33.81,0,6,La experiencia no fue lo que esperaba,-0.5,37.5,0
digital,web_saas,179.05,119.53,59.52,33.24,5,80,20,media,33.87,0,3,No me convence del todo,-0.5,16.5,0
servicio,presencial,150.03,92.75,57.28,38.18,3,30,96,baja,47.62,1,10,Me identifico con la marca,0.5,84.5,1
servicio,hibrido,119.44,78.43,41.01,34.34,10,87,69,alta,45.04,1,7,Me identifico con la marca,0.5,63.5,1
servicio,hibrido,89.91,39.9,50.01,55.62,6,77,91,media,49.63,1,9,Se siente muy bien usarlo,0.5,77.5,1
digital,marketplace,195.76,100.5,95.26,48.66,9,22,71,baja,20.05,0,1,No me convence del todo,-0.5,2.5,0
fisico,ecommerce,45.9,24.65,21.25,46.3,10,14,31,media,34.54,0,4,No me convence del todo,-0.5,25.5,0
fisico,tienda_de_conveniencia,73.43,39.88,33.55,45.69,8,71,62,alta,51.55,1,7,La experiencia fue muy positiva,0.5,61.5,1
servicio,presencial,195.09,86.44,108.65,55.69,4,32,74,media,41.84,1,10,Se siente muy bien usarlo,0.5,84.5,1
digital,web_saas,157.67,93.92,63.75,40.43,9,90,74,alta,49.37,1,9,Lo volvería a elegir,0.5,73.5,1
fisico,tienda_de_conveniencia,108.21,75.4,32.81,30.32,4,87,87,media,52.86,1,7,Se siente muy bien usarlo,0.5,61.5,1
servicio,presencial,191.94,83.95,107.99,56.26,10,80,66,media,41.05,0,1,No conecté con este producto,-0.5,6.5,0
servicio,hibrido,165.35,92.56,72.79,44.02,3,41,80,media,40.89,0,5,La experiencia no fue lo que esperaba,-0.5,34.5,0
servicio,online,204.81,133.06,71.75,35.03,3,52,85,media,39.54,0,1,No me sentí identificado,-0.5,6.5,0
servicio,hibrido,267.55,159.92,107.63,40.23,6,55,92,baja,38.76,0,1,No me convence del todo,-0.5,6.5,0
digital,marketplace,177.18,110.15,67.03,37.83,3,32,24,alta,27.87,0,3,No me sentí identificado,-0.5,16.5,0
servicio,hibrido,294.89,120.64,174.25,59.09,5,99,100,media,44.35,1,8,Se siente muy bien usarlo,0.5,70.5,1
fisico,retail,110.83,62.81,48.02,43.33,2,20,30,alta,25.22,0,4,No me convence del todo,-0.5,25.5,0
digital,marketplace,161.92,78.47,83.45,51.54,9,59,67,alta,35.51,0,2,No conecté con este producto,-0.5,9.5,0
fisico,super,62.03,41.73,20.3,32.73,4,94,55,baja,57.74,1,10,La experiencia fue muy positiva,0.5,82.5,1
servicio,online,224.02,114.69,109.33,48.8,8,25,81,media,23.62,0,6,Probablemente no lo volvería a usar,0.0,49.0,0
fisico,tienda_de_conveniencia,90.67,43.37,47.3,52.17,1,64,72,media,61.71,1,9,Se siente muy bien usarlo,0.5,75.5,1
servicio,hibrido,260.83,180.06,80.77,30.97,4,66,62,alta,34.75,0,1,La experiencia no fue lo que esperaba,-0.5,6.5,0
digital,app_store,122.09,62.31,59.78,48.96,8,85,82,alta,52.63,1,8,Me encanta este producto,0.5,66.5,1
servicio,online,217.81,109.74,108.07,49.62,4,73,33,alta,31.01,0,6,Probablemente no lo volvería a usar,0.0,49.0,0
fisico,super,102.0,48.26,53.74,52.69,3,11,62,media,44.48,1,9,La experiencia fue muy positiva,0.5,75.5,1
servicio,presencial,193.78,130.96,62.82,32.42,8,91,74,alta,47.67,1,7,La experiencia fue muy positiva,0.5,63.5,1
servicio,hibrido,121.14,50.45,70.69,58.35,10,70,33,media,44.01,1,8,La experiencia fue muy positiva,0.5,70.5,1
fisico,super,44.45,21.64,22.81,51.32,2,69,95,alta,59.85,1,10,Lo volvería a elegir,0.5,82.5,1
servicio,online,252.02,155.74,96.28,38.2,9,53,95,alta,31.98,0,1,Probablemente no lo volvería a usar,0.0,14.0,0
digital,web_saas,138.05,84.12,53.93,39.07,4,36,28,baja,26.34,0,5,No me convence del todo,-0.5,30.5,0
servicio,hibrido,222.7,112.74,109.96,49.38,9,56,23,media,19.8,0,1,No me sentí identificado,-0.5,6.5,0
digital,app_store,105.95,47.2,58.75,55.45,4,25,22,media,22.34,0,3,La experiencia no fue lo que esperaba,-0.5,16.5,0
digital,marketplace,197.15,114.08,83.07,42.14,6,23,21,media,17.7,0,6,No conecté con este producto,-0.5,37.5,0
servicio,hibrido,277.2,136.01,141.19,50.93,6,49,52,baja,8.91,0,6,No me sentí identificado,-0.5,41.5,0
fisico,tienda_de_conveniencia,90.62,60.79,29.83,32.92,3,78,33,media,47.96,1,10,Me encanta este producto,0.5,82.5,1
fisico,retail,85.02,35.08,49.94,58.74,7,30,58,media,33.08,0,2,No conecté con este producto,-0.5,11.5,0
digital,app_store,202.11,108.22,93.89,46.45,10,42,61,media,24.65,0,1,No me convence del todo,-0.5,2.5,0
fisico,super,114.34,74.54,39.8,34.81,9,88,64,alta,45.16,1,7,Se siente muy bien usarlo,0.5,61.5,1
servicio,online,174.68,89.96,84.72,48.5,6,54,96,alta,37.1,0,3,No conecté con este producto,-0.5,20.5,0
digital,web_saas,129.22,73.49,55.73,43.13,4,20,43,baja,29.0,0,1,No me sentí identificado,-0.5,2.5,0
digital,marketplace,123.98,69.25,54.73,44.14,6,12,94,media,33.72,0,5,No me convence del todo,-0.5,30.5,0
fisico,tienda_de_conveniencia,82.09,49.89,32.2,39.23,4,75,64,alta,50.66,1,7,Me identifico con la marca,0.5,61.5,1
digital,app_store,142.97,70.46,72.51,50.72,6,80,24,media,39.49,0,5,No conecté con este producto,-0.5,30.5,0
digital,web_saas,184.36,126.47,57.89,31.4,10,95,65,media,39.49,0,6,No conecté con este producto,-0.5,37.5,0
fisico,tienda_de_conveniencia,69.42,41.13,28.29,40.75,6,28,38,baja,36.83,0,3,Probablemente no lo volvería a usar,0.0,26.0,0
fisico,retail,120.62,78.15,42.47,35.21,2,63,33,baja,39.01,0,3,Probablemente no lo volvería a usar,0.0,26.0,0
digital,app_store,170.85,81.49,89.36,52.3,2,13,75,alta,29.37,0,4,No me sentí identificado,-0.5,23.5,0
servicio,online,276.2,171.04,105.16,38.07,4,13,74,media,9.52,0,1,No me convence del todo,-0.5,6.5,0
digital,web_saas,89.0,45.04,43.96,49.39,1,79,43,media,49.76,1,9,Se siente muy bien usarlo,0.5,73.5,1
digital,web_saas,176.9,73.57,103.33,58.41,4,38,99,media,44.7,1,9,Lo volvería a elegir,0.5,73.5,1
digital,web_saas,116.64,75.5,41.14,35.27,9,79,50,media,44.32,1,7,Lo volvería a elegir,0.5,59.5,0
servicio,hibrido,262.97,135.06,127.91,48.64,9,83,33,media,19.5,0,3,Probablemente no lo volvería a usar,0.0,28.0,0
fisico,retail,83.36,37.69,45.67,54.79,8,83,31,baja,50.2,1,7,Me identifico con la marca,0.5,61.5,1
servicio,hibrido,241.22,108.15,133.07,55.17,7,40,76,media,37.03,0,2,No me sentí identificado,-0.5,13.5,0
servicio,hibrido,221.28,120.53,100.75,45.53,2,59,34,alta,41.31,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
digital,marketplace,189.57,116.29,73.28,38.66,5,85,32,media,30.17,0,1,No me convence del todo,-0.5,2.5,0
servicio,online,181.79,106.27,75.52,41.54,6,100,64,alta,42.46,1,7,La experiencia fue muy positiva,0.5,63.5,1
servicio,online,144.58,64.32,80.26,55.51,5,91,27,media,47.97,1,9,La experiencia fue muy positiva,0.5,77.5,1
digital,marketplace,147.77,89.84,57.93,39.2,9,27,62,media,29.47,0,1,Probablemente no lo volvería a usar,0.0,10.0,0
servicio,presencial,133.58,75.88,57.7,43.2,10,86,99,media,55.7,1,9,Me identifico con la marca,0.5,77.5,1
fisico,super,81.57,43.98,37.59,46.08,10,40,92,media,51.22,1,10,La experiencia fue muy positiva,0.5,82.5,1
servicio,hibrido,217.93,120.72,97.21,44.61,6,80,27,media,28.21,0,5,No me sentí identificado,-0.5,34.5,0
servicio,presencial,194.64,109.35,85.29,43.82,10,59,36,media,20.4,0,6,La experiencia no fue lo que esperaba,-0.5,41.5,0
digital,app_store,167.99,102.34,65.65,39.08,10,65,61,media,42.37,1,8,Me identifico con la marca,0.5,66.5,1
digital,app_store,114.05,71.65,42.4,37.18,1,56,20,media,36.29,0,3,La experiencia no fue lo que esperaba,-0.5,16.5,0
servicio,presencial,167.79,75.65,92.14,54.91,4,70,84,media,52.6,1,7,Lo volvería a elegir,0.5,63.5,1
servicio,hibrido,184.64,125.72,58.92,31.91,9,46,77,alta,33.75,0,4,La experiencia no fue lo que esperaba,-0.5,27.5,0
fisico,retail,79.9,48.0,31.9,39.92,5,98,93,media,66.57,1,8,Me identifico con la marca,0.5,68.5,1
digital,web_saas,183.3,79.06,104.24,56.87,5,26,23,alta,15.85,0,4,No me convence del todo,-0.5,23.5,0
digital,marketplace,113.82,68.65,45.17,39.69,6,41,62,alta,32.87,0,3,La experiencia no fue lo que esperaba,-0.5,16.5,0
fisico,tienda_de_conveniencia,70.95,29.4,41.55,58.56,3,32,93,alta,58.34,1,10,La experiencia fue muy positiva,0.5,82.5,1
digital,app_store,221.18,119.47,101.71,45.99,7,15,22,alta,5.36,0,4,No me sentí identificado,-0.5,23.5,0
fisico,super,65.75,38.98,26.77,40.71,6,94,82,media,69.23,1,10,Me identifico con la marca,0.5,82.5,1
digital,marketplace,200.75,94.23,106.52,53.06,10,22,29,baja,12.79,0,2,La experiencia no fue lo que esperaba,-0.5,9.5,0
servicio,online,231.4,117.78,113.62,49.1,1,84,72,alta,38.08,0,1,No me sentí identificado,-0.5,6.5,0
servicio,presencial,315.54,132.95,182.59,57.87,2,86,79,media,49.27,1,10,Se siente muy bien usarlo,0.5,84.5,1
fisico,super,101.69,59.73,41.96,41.26,7,90,95,media,52.1,1,7,Se siente muy bien usarlo,0.5,61.5,1
digital,app_store,79.3,42.17,37.13,46.82,2,16,80,media,43.97,1,7,Me identifico con la marca,0.5,59.5,0
digital,web_saas,215.67,103.99,111.68,51.78,4,81,41,alta,35.25,0,5,Probablemente no lo volvería a usar,0.0,38.0,0
digital,web_saas,163.38,107.66,55.72,34.1,7,98,36,alta,44.93,1,10,Me encanta este producto,0.5,80.5,1
fisico,super,56.81,25.41,31.4,55.27,3,39,99,media,56.33,1,8,Me identifico con la marca,0.5,68.5,1
digital,web_saas,98.09,41.58,56.51,57.61,5,48,32,baja,33.1,0,3,No me sentí identificado,-0.5,16.5,0
digital,app_store,114.73,59.92,54.81,47.77,7,56,61,baja,45.12,1,10,Me identifico con la marca,0.5,80.5,1
fisico,tienda_de_conveniencia,88.08,57.0,31.08,35.29,10,81,55,alta,43.56,1,7,Me identifico con la marca,0.5,61.5,1
servicio,hibrido,49.99,33.16,16.83,33.67,4,47,38,media,43.79,1,8,Me encanta este producto,0.5,70.5,1
digital,web_saas,187.26,75.32,111.94,59.78,5,89,78,media,55.81,1,8,Me identifico con la marca,0.5,66.5,1
servicio,hibrido,215.72,94.06,121.66,56.4,9,17,95,alta,31.02,0,5,Probablemente no lo volvería a usar,0.0,42.0,0
fisico,ecommerce,36.53,20.5,16.03,43.88,3,45,42,media,49.31,1,10,Me encanta este producto,0.5,82.5,1
digital,app_store,112.46,48.62,63.84,56.77,6,22,70,media,34.42,0,3,No me convence del todo,-0.5,16.5,0
fisico,super,56.77,26.85,29.92,52.7,1,30,75,media,58.73,1,8,Me identifico con la marca,0.5,68.5,1
