marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,score_latente,exito
GoldenGrain,cereal,marketplace,70.35,36.09,34.26,48.7,6,71,56,baja,5,Nada extraordinario,0,40.0,0,2.57,0
VitalMix,cereal,retail,137.96,88.7,49.26,35.71,5,68,67,alta,5,Solo lo compraría en promoción,0,40.0,0,22.39,1
FitMorning,cereal,retail,135.51,88.08,47.43,35.0,3,61,48,media,5,Podría mejorar,0,40.0,0,21.79,1
FitMorning,cereal,retail,71.21,44.14,27.07,38.01,7,96,59,alta,7,Podría mejorar,0,54.0,0,23.99,1
CerealNova,cereal,retail,102.87,62.91,39.96,38.85,8,72,68,media,8,Me identifico con esta marca,1,76.0,1,14.27,1
FiberPlus,cereal,marketplace,103.61,68.9,34.71,33.5,8,60,56,alta,6,Es un cereal promedio,0,47.0,0,-7.4,0
VitalMix,cereal,retail,106.13,70.45,35.68,33.62,8,54,48,media,6,Nada extraordinario,0,47.0,0,-7.67,0
HoneyOats,cereal,retail,35.0,19.84,15.16,43.31,6,77,41,media,8,Excelente relación calidad-precio,1,76.0,1,29.33,1
CrunchMax,cereal,retail,68.11,35.69,32.42,47.6,7,93,30,alta,5,Podría mejorar,0,40.0,0,14.19,1
VitalMix,cereal,marketplace,85.17,43.47,41.7,48.96,5,83,76,media,9,Me gusta mucho esta marca,1,83.0,1,41.86,1
HoneyOats,cereal,retail,82.95,52.89,30.06,36.24,8,77,71,alta,7,"Está bien, cumple",0,54.0,0,3.68,0
KidsStar,cereal,retail,100.88,68.99,31.89,31.61,8,76,55,baja,6,Solo lo compraría en promoción,0,47.0,0,-4.42,0
HoneyOats,cereal,retail,99.37,64.11,35.26,35.48,6,73,81,alta,6,Es un cereal promedio,0,47.0,0,42.31,1
ChocoBoom,cereal,retail,87.59,39.94,47.65,54.4,5,69,49,baja,9,Se siente de buena calidad,1,83.0,1,28.88,1
CerealNova,cereal,retail,84.85,47.72,37.13,43.76,8,77,72,media,6,Es un cereal promedio,0,47.0,0,11.02,1
CerealNova,cereal,retail,99.52,45.07,54.45,54.71,7,54,70,baja,8,Me identifico con esta marca,1,76.0,1,12.01,1
HoneyOats,cereal,retail,89.03,52.88,36.15,40.6,7,69,52,baja,6,Solo lo compraría en promoción,0,47.0,0,3.73,0
FitMorning,cereal,retail,145.23,85.6,59.63,41.06,10,62,75,alta,3,Se me hizo caro,-1,11.0,0,-27.34,0
ChocoBoom,cereal,retail,122.01,77.16,44.85,36.76,7,65,69,media,6,Podría mejorar,0,47.0,0,1.01,0
CornCrisp,cereal,retail,118.33,81.42,36.91,31.19,7,59,58,media,6,Nada extraordinario,0,47.0,0,3.73,0
CrunchMax,cereal,retail,79.31,53.0,26.31,33.17,5,65,60,baja,7,Solo lo compraría en promoción,0,54.0,0,21.34,1
CerealNova,cereal,retail,83.82,54.48,29.34,35.0,8,66,44,alta,8,Se siente de buena calidad,1,76.0,1,8.27,0
KidsStar,cereal,retail,113.67,69.69,43.98,38.69,8,79,76,media,6,"Está bien, cumple",0,47.0,0,-1.74,0
CerealNova,cereal,retail,83.45,51.91,31.54,37.8,6,68,57,alta,6,Podría mejorar,0,47.0,0,10.45,0
CrunchMax,cereal,marketplace,69.5,35.03,34.47,49.6,5,71,72,media,8,Me encanta el sabor y la textura,1,76.0,1,21.87,1
CornCrisp,cereal,retail,79.14,51.8,27.34,34.55,6,69,66,media,10,Me identifico con esta marca,1,90.0,1,33.39,1
FitMorning,cereal,retail,138.36,74.82,63.54,45.92,7,38,69,baja,6,Nada extraordinario,0,47.0,0,-5.69,0
CornCrisp,cereal,marketplace,57.98,37.01,20.97,36.17,9,87,43,media,7,Nada extraordinario,0,54.0,0,3.37,0
ChocoBoom,cereal,retail,79.49,44.74,34.75,43.72,6,74,60,media,7,Nada extraordinario,0,54.0,0,21.25,1
HoneyOats,cereal,marketplace,93.16,52.86,40.3,43.26,8,58,49,media,6,"Está bien, cumple",0,47.0,0,5.68,0
HoneyOats,cereal,retail,84.47,46.81,37.66,44.58,7,64,70,media,7,Podría mejorar,0,54.0,0,12.07,1
ChocoBoom,cereal,marketplace,99.85,58.99,40.86,40.92,8,59,58,media,7,"Está bien, cumple",0,54.0,0,-10.33,0
CornCrisp,cereal,retail,67.06,45.94,21.12,31.49,4,74,48,baja,6,"Está bien, cumple",0,47.0,0,22.88,1
HoneyOats,cereal,retail,57.74,39.55,18.19,31.5,7,77,59,alta,5,Podría mejorar,0,40.0,0,12.45,1
HoneyOats,cereal,retail,68.47,42.26,26.21,38.28,7,54,41,baja,7,Nada extraordinario,0,54.0,0,6.33,0
ChocoBoom,cereal,retail,79.74,45.99,33.75,42.33,8,86,63,media,10,Se siente de buena calidad,1,90.0,1,20.18,1
CrunchMax,cereal,retail,77.27,52.94,24.33,31.49,7,68,51,media,5,Nada extraordinario,0,40.0,0,-5.16,0
KidsStar,cereal,retail,91.27,54.88,36.39,39.87,9,81,38,alta,5,Nada extraordinario,0,40.0,0,6.46,0
HoneyOats,cereal,retail,60.45,38.56,21.89,36.21,5,55,58,baja,5,Solo lo compraría en promoción,0,40.0,0,11.47,1
ChocoBoom,cereal,retail,79.76,55.08,24.68,30.94,5,87,47,media,6,"Está bien, cumple",0,47.0,0,6.1,0
VitalMix,cereal,marketplace,109.07,64.22,44.85,41.12,7,58,54,media,6,"Está bien, cumple",0,47.0,0,-1.88,0
KidsStar,cereal,marketplace,88.52,44.91,43.61,49.27,7,75,84,media,7,Nada extraordinario,0,54.0,0,-3.64,0
FiberPlus,cereal,marketplace,161.3,95.94,65.36,40.52,6,49,46,media,4,No me gustó el sabor,-1,18.0,0,-2.18,0
VitalMix,cereal,retail,99.46,50.62,48.84,49.11,3,79,65,alta,4,No lo volvería a comprar,-1,18.0,0,32.13,1
VitalMix,cereal,retail,106.58,57.68,48.9,45.88,6,67,54,media,5,"Está bien, cumple",0,40.0,0,17.53,1
GoldenGrain,cereal,retail,108.22,72.37,35.85,33.13,9,61,36,media,5,Nada extraordinario,0,40.0,0,-6.02,0
VitalMix,cereal,retail,96.32,66.12,30.2,31.35,5,61,74,alta,7,Es un cereal promedio,0,54.0,0,24.87,1
FiberPlus,cereal,retail,142.81,77.92,64.89,45.44,7,69,49,alta,6,Podría mejorar,0,47.0,0,1.75,0
CornCrisp,cereal,marketplace,62.39,33.96,28.43,45.57,7,56,36,baja,6,Podría mejorar,0,47.0,0,3.8,0
KidsStar,cereal,marketplace,71.62,36.2,35.42,49.46,6,77,50,media,9,Excelente relación calidad-precio,1,83.0,1,26.65,1
HoneyOats,cereal,retail,61.7,35.37,26.33,42.67,6,62,59,baja,10,Me identifico con esta marca,1,90.0,1,11.86,1
GoldenGrain,cereal,retail,144.33,90.18,54.15,37.52,3,46,77,media,8,Me encanta el sabor y la textura,1,76.0,1,22.38,1
CornCrisp,cereal,retail,68.59,31.74,36.85,53.73,6,91,72,alta,7,Podría mejorar,0,54.0,0,38.72,1
CerealNova,cereal,marketplace,79.2,56.56,22.64,28.59,7,81,62,media,7,Solo lo compraría en promoción,0,54.0,0,16.2,1
